county_name_panel,county_code_raw,year,county_code_key,ssb12993_region_code,ssb12993_region_label,teacher_pls_total_teachers_n,teacher_pls_full_time_teachers_n,teacher_pls_full_time_share_pct,teacher_pls_share_long_teacher_education_pct,teacher_pls_share_short_teacher_education_pct,teacher_pls_share_with_teacher_education_pct,teacher_pls_share_with_other_educational_science_pct,teacher_pls_share_without_educational_science_pct,teacher_pls_share_upper_secondary_pct,teacher_pls_share_with_pedagogical_education_pct,ssb12919_region_code,ssb12919_region_label,teacher_all_total_teachers_n,teacher_all_share_with_teacher_education_pct,teacher_all_share_with_other_educational_science_pct,teacher_all_share_with_educational_science_pct,teacher_all_share_without_educational_science_pct,teacher_all_share_upper_secondary_or_less_pct
Østfold ( - 2019),1,2007,01,,,,,,,,,,,,,,,,,,,,
Østfold ( - 2019),1,2008,01,,,,,,,,,,,,,,,,,,,,
Østfold ( - 2019),1,2009,01,,,,,,,,,,,,,,,,,,,,
Østfold ( - 2019),1,2010,01,,,,,,,,,,,,,,,,,,,,
Østfold ( - 2019),1,2011,01,,,,,,,,,,,,,,,,,,,,
Østfold ( - 2019),1,2012,01,,,,,,,,,,,,,,,,,,,,
Østfold ( - 2019),1,2013,01,,,,,,,,,,,,,,,,,,,,
Østfold ( - 2019),1,2014,01,,,,,,,,,,,,,,,,,,,,
Østfold ( - 2019),1,2015,01,01,Østfold (-2019),3788.0,2813.0,74.26082365364309,3.7222808870116157,76.16156282998944,79.88384371700106,9.398099260823653,4.567053854276663,6.151003167898627,89.28194297782471,EKA01,Østfold (-2019),3884.0,76.41606591143152,8.419155509783728,84.83522142121525,8.831101956745622,6.3336766220391345
Østfold ( - 2019),1,2016,01,01,Østfold (-2019),3829.0,2857.0,74.6147819273962,3.9435884042831026,75.58109166884304,79.52468007312615,9.140767824497258,4.753199268738574,6.581352833638025,88.6654478976234,EKA01,Østfold (-2019),3911.0,76.14420864229098,8.130912810023013,84.27512145231398,8.872411148043978,6.852467399642036
Østfold ( - 2019),1,2017,01,01,Østfold (-2019),3866.0,2937.0,75.96999482669425,4.500775995861355,75.68546301086394,80.1862390067253,8.949818934299017,4.371443352302121,6.492498706673564,89.13605794102432,EKA01,Østfold (-2019),3935.0,76.89961880559085,7.9288437102922495,84.8284625158831,8.66581956797967,6.50571791613723
Østfold ( - 2019),1,2018,01,01,Østfold (-2019),3908.0,3016.0,77.17502558853634,4.810644831115661,74.97441146366428,79.78505629477995,9.365404298874104,4.119754350051178,6.729785056294781,89.15046059365405,EKA01,Østfold (-2019),3995.0,75.7947434292866,8.285356695869837,84.08010012515645,8.986232790988737,6.933667083854818
Østfold ( - 2019),1,2019,01,01,Østfold (-2019),3936.0,3003.0,76.29573170731707,5.08130081300813,75.3810975609756,80.46239837398373,8.96849593495935,4.395325203252033,6.173780487804878,89.43089430894308,EKA01,Østfold (-2019),4012.0,76.321036889332,7.876370887337986,84.19740777666999,9.770687936191425,6.031904287138584
Aust-Agder ( - 2019),9,2007,09,,,,,,,,,,,,,,,,,,,,
Aust-Agder ( - 2019),9,2008,09,,,,,,,,,,,,,,,,,,,,
Aust-Agder ( - 2019),9,2009,09,,,,,,,,,,,,,,,,,,,,
Aust-Agder ( - 2019),9,2010,09,,,,,,,,,,,,,,,,,,,,
Aust-Agder ( - 2019),9,2011,09,,,,,,,,,,,,,,,,,,,,
Aust-Agder ( - 2019),9,2012,09,,,,,,,,,,,,,,,,,,,,
Aust-Agder ( - 2019),9,2013,09,,,,,,,,,,,,,,,,,,,,
Aust-Agder ( - 2019),9,2014,09,,,,,,,,,,,,,,,,,,,,
Aust-Agder ( - 2019),9,2015,09,09,Aust-Agder (-2019),1712.0,1096.0,64.01869158878505,4.147196261682243,74.35747663551402,78.50467289719626,10.338785046728972,5.490654205607477,5.66588785046729,88.84345794392523,EKA09,Aust-Agder (-2019),1711.0,76.0374050263004,9.35125657510228,85.38866160140269,8.825248392752776,5.786090005844535
Aust-Agder ( - 2019),9,2016,09,09,Aust-Agder (-2019),1746.0,1157.0,66.26575028636884,4.352806414662084,73.31042382588774,77.66323024054984,10.996563573883162,5.383734249713632,5.956471935853378,88.65979381443299,EKA09,Aust-Agder (-2019),1736.0,75.57603686635944,9.90783410138249,85.48387096774194,8.582949308755762,5.933179723502304
